Arm	# Genes	Amp frequency	Amp frequency score	Amp z-score	Amp q-value	Del frequency	Del frequency score	Del z-score	Del q-value
1p	3092	0.07	0.08	-6.8	1	0.07	0.08	-6.95	1
1q	2863	0.37	0.37	18.9	0	0.02	0.03	-9.29	1
2p	1500	0.10	0.11	-3.63	1	0.01	0.01	-11.8	1
2q	2495	0.07	0.07	-7.11	1	0.02	0.02	-11.8	1
3p	1531	0.41	0.41	24.1	0	0.01	0.01	-9.35	1
3q	1708	0.44	0.44	26.5	0	0.00	0.01	-9.6	1
4p	693	0.10	0.10	-3.21	1	0.05	0.05	-7.45	1
4q	1467	0.11	0.11	-2.88	1	0.03	0.04	-9.38	1
5p	456	0.46	0.46	30.3	0	0.01	0.02	-8.1	1
5q	2185	0.44	0.45	26.5	0	0.01	0.02	-8.79	1
6p	1664	0.24	0.24	8.39	0	0.02	0.03	-9.71	1
6q	1304	0.14	0.16	1.35	0.181	0.12	0.14	-0.346	1
7p	926	0.35	0.35	19.3	0	0.01	0.01	-9.55	1
7q	1717	0.36	0.37	19.8	0	0.00	0.01	-10.2	1
8p	795	0.05	0.07	-6.12	1	0.20	0.21	6.33	1.58e-09
8q	1249	0.09	0.10	-4.29	1	0.04	0.04	-8.95	1
9p	621	0.55	0.56	38.9	0	0.01	0.03	-6.91	1
9q	1610	0.58	0.58	39.8	0	0.00	0.00	-8.36	1
10p	767	0.05	0.06	-7.6	1	0.03	0.03	-9.93	1
10q	1968	0.06	0.06	-7.7	1	0.02	0.02	-11.2	1
11p	1162	0.38	0.39	22.6	0	0.01	0.02	-9.19	1
11q	2133	0.44	0.44	26	0	0.01	0.01	-9.51	1
12p	804	0.03	0.04	-9.14	1	0.10	0.10	-3.66	1
12q	2055	0.03	0.03	-10.3	1	0.04	0.05	-9.31	1
13q	1092	0.02	0.04	-6.66	1	0.46	0.47	29.8	0
14q	1829	0.07	0.08	-5.75	1	0.15	0.17	1.52	0.628
15q	2082	0.52	0.52	33.3	0	0.01	0.01	-8.69	1
16p	1378	0.05	0.06	-7.93	1	0.04	0.04	-8.91	1
16q	1070	0.05	0.07	-6.12	1	0.20	0.22	6.63	3.37e-10
17p	937	0.10	0.12	-2.19	1	0.10	0.11	-2.36	1
17q	2298	0.12	0.13	-2.29	1	0.05	0.06	-7.98	1
18p	212	0.17	0.18	4.29	2.03e-05	0.05	0.06	-6.74	1
18q	644	0.18	0.18	4.05	5.47e-05	0.02	0.03	-9.51	1
19p	1331	0.57	0.58	39.8	0	0.01	0.02	-7.68	1
19q	2402	0.52	0.53	33.2	0	0.01	0.03	-7.78	1
20p	583	0.06	0.07	-6.38	1	0.09	0.10	-3.38	1
20q	1092	0.07	0.08	-5.86	1	0.03	0.04	-9.48	1
21q	750	0.27	0.27	12.3	0	0.02	0.03	-8.79	1
22q	1258	0.03	0.04	-8.99	1	0.12	0.12	-1.71	1
