gene	longname	codelen	nnei	nncd	nsil	nmis	nstp	nspl	nind	nnon	npat	nsite	pCV	pCL	pFN	pCL2	pFN2	pCF	p	q	prevalence
DDX5	DEAD (Asp-Glu-Ala-Asp) box polypeptide 5	2030	7	2	0	3	0	0	7	10	10	8	1.360631e-4	0.001766667	0.1336667	3.163498e-5	0.1314111	NA	1.265478e-6	9.074934e-4	0.009708737864077669
SMU1	smu-1 suppressor of mec-8 and unc-52 homolog (C. elegans)	1588	2	17	1	9	0	0	0	9	9	5	0.2842788	1e-6	0.924598	3.126703e-8	0.9246174	NA	4.569301e-6	0.002748213	0.008737864077669903
RNASEH2C	ribonuclease H2, subunit C	859	12	0	1	5	0	0	0	5	5	3	0.03243815	0.062006	1e-5	1.746201e-5	5.284106e-7	NA	5.171077e-6	0.002928364	0.0048543689320388345
RPL5	ribosomal protein L5	926	12	3	0	5	0	1	6	12	10	10	6.12561e-6	0.19	0.426	0.04759332	0.4188586	NA	1.128966e-5	0.006191048	0.009708737864077669
TGDS	TDP-glucose 4,6-dehydratase	1097	5	3	0	5	1	2	2	10	9	10	9.613018e-5	1	0.0118	1	0.0146873	NA	3.905852e-5	0.01820615	0.008737864077669903
EEF1A1	eukaryotic translation elongation factor 1 alpha 1	1425	1	4	1	9	0	0	0	9	9	7	0.005855521	4e-4	0.22334	4.170211e-5	0.2236239	NA	4.32063e-5	0.01964833	0.008737864077669903
FRMPD2	FERM and PDZ domain containing 2	4042	0	0	1	7	2	0	0	9	9	9	3.850538e-6	1	0.942	1	0.9349478	NA	5.185634e-5	0.02248515	0.008737864077669903
ANKRD9	ankyrin repeat domain 9	976	12	0	1	4	0	0	1	5	5	5	6.413184e-6	1	0.449	1	0.4685775	NA	5.318136e-5	0.0225356	0.0048543689320388345
FAM196A	family with sequence similarity 196, member A	1474	0	0	1	12	0	0	0	12	10	12	1.844129e-5	1	0.138	1	0.1288232	NA	8.358994e-5	0.03334163	0.009708737864077669
HIST1H4E	histone cluster 1, H4e	314	12	2	1	9	1	0	0	10	10	9	3.682279e-5	0.384	0.158	0.1339857	0.1576609	NA	8.478428e-5	0.03334163	0.009708737864077669
IRF1	interferon regulatory factor 1	1021	21	4	0	6	3	1	0	10	10	9	4.458093e-5	0.198	0.233	0.04354156	0.2360779	NA	8.583524e-5	0.03334163	0.009708737864077669
EFTUD2	elongation factor Tu GTP binding domain containing 2	3629	8	11	2	8	0	0	1	9	9	4	0.2984299	1.232143e-4	0.1600036	1.485034e-12	0.1608948	NA	1.080514e-4	0.03730776	0.008737864077669903
HOOK1	hook homolog 1 (Drosophila)	2272	9	20	0	6	1	0	0	7	7	5	0.2689422	2.060606e-4	0.04281515	6.753553e-6	0.04240575	NA	2.049562e-4	0.06823944	0.006796116504854369
FKBP14	FK506 binding protein 14, 22 kDa	654	0	0	0	6	0	0	0	6	6	6	2.350494e-5	1	0.878	1	0.8758808	NA	2.740276e-4	0.08809043	0.005825242718446602
ATP5D	ATP synthase, H+ transporting, mitochondrial F1 complex, delta subunit	529	8	2	1	3	1	0	0	4	4	4	9.21612e-4	0.023	0.081	1	0.08158294	NA	2.886813e-4	0.08970773	0.003883495145631068
