gene	longname	codelen	nnei	nncd	nsil	nmis	nstp	nspl	nind	nnon	npat	nsite	pCV	pCL	pFN	pCL2	pFN2	pCF	p	q	prevalence
KRAS	v-Ki-ras2 Kirsten rat sarcoma viral oncogene homolog	714	1	20	3	289	0	0	2	291	248	27	1e-16	1e-6	1e-6	7.958079e-13	5.018618e-9	NA	1e-16	2.070011e-13	0.2407766990291262
NRAS	neuroblastoma RAS viral (v-ras) oncogene homolog	965	13	6	1	238	0	0	0	238	210	12	2.96839e-15	1e-6	1e-6	3.410605e-13	1.332268e-15	NA	1e-16	2.070011e-13	0.20388349514563106
DIS3	DIS3 mitotic control homolog (S. cerevisiae)	3061	7	11	1	113	4	7	1	125	105	70	5.778786e-16	1e-6	1e-6	2.273737e-13	1.590655e-6	NA	1e-16	2.070011e-13	0.10194174757281553
FAM46C	family with sequence similarity 46, member C	1187	1	8	5	64	4	0	68	136	104	113	1e-16	9e-4	0.66935	6.17704e-7	0.6542786	NA	1e-16	2.070011e-13	0.10097087378640776
BRAF	v-raf murine sarcoma viral oncogene homolog B1	2371	1	33	3	68	0	1	0	69	65	17	1e-16	1e-6	1e-6	1e-16	3.713226e-7	NA	1e-16	2.070011e-13	0.06310679611650485
TP53	tumor protein p53	1952	1	5	0	46	4	10	4	64	53	52	1.402678e-15	0.00787	1e-6	0.0110466	1.05541e-9	NA	1e-16	2.070011e-13	0.05145631067961165
FGFR3	fibroblast growth factor receptor 3 (achondroplasia, thanatophoric dwarfism)	2642	1	10	3	35	7	1	11	54	39	36	1.601879e-15	2.285714e-4	0.6113857	1e-16	0.6041319	NA	1e-16	2.070011e-13	0.037864077669902914
MAX	MYC associated factor X	1981	2	23	1	26	8	1	3	38	31	22	1.82338e-15	1e-6	2e-6	6.498624e-10	2.843495e-6	NA	1e-16	2.070011e-13	0.030097087378640777
HIST1H1E	histone cluster 1, H1e	664	3	1	4	40	0	0	2	42	40	33	4.181512e-16	0.0079	0.1276	0.02131062	0.1221256	NA	1.110223e-16	2.070011e-13	0.038834951456310676
SP140	SP140 nuclear body protein	2827	6	21	2	10	10	3	12	35	35	33	1e-16	0.2575	0.0065	0.1883319	0.00610208	NA	1.110223e-16	2.070011e-13	0.03398058252427184
